LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.0246521,36.965212,80,FRONT ST,106B,,,,95060,,d90edccd21845935
-122.0246521,36.965212,80,FRONT ST,107,,,,95060,,aad217ab6979a282
-122.0246521,36.965212,80,FRONT ST,109,,,,95060,,b7b9b041798add9f
-122.0246521,36.965212,80,FRONT ST,111,,,,95060,,9464f2777f38dfd1
-122.0246521,36.965212,80,FRONT ST,113,,,,95060,,3586793f1c84f9a1
-122.0246521,36.965212,80,FRONT ST,115A,,,,95060,,4687ab4548b66b0b
-122.025343,36.9645457,71,FRONT ST,3,,,,95060,,08144274fdb651c6
-122.0254252,36.9647023,75,FRONT ST,COMMON,,,,95060,,94e81ff0d042a578
-122.0246521,36.965212,80,FRONT ST,137A,,,,95060,,d03092d9d91d7cd3
-122.0246521,36.965212,80,FRONT ST,137B,,,,95060,,c6c72d13975e965f
-122.0246521,36.965212,80,FRONT ST,139,,,,95060,,86520d26e319c0e2
-122.0246521,36.965212,80,FRONT ST,143B,,,,95060,,e2a692dba477181e
-122.0246521,36.965212,80,FRONT ST,141,,,,95060,,acac6ca9054f90fc
-122.0244015,36.9641083,52,FRONT ST,,,,,95060,,9c9d5255e80168d3
-122.0246521,36.965212,80,FRONT ST,145A,,,,95060,,a5d5bc3a7be05181
-122.0246521,36.965212,80,FRONT ST,115B,,,,95060,,357648cf948209d3
-122.0246521,36.965212,80,FRONT ST,1A,,,,95060,,ec3f38364a109c2c
-122.0246521,36.965212,80,FRONT ST,201A,,,,95060,,9ce13912c888fb57
-122.0246521,36.965212,80,FRONT ST,1B,,,,95060,,2a26c20afea2ff97
-122.0246521,36.965212,80,FRONT ST,202A,,,,95060,,8e17b4cb464a52cf
-122.0246521,36.965212,80,FRONT ST,102B,,,,95060,,19da9e28147de4b4
-122.0246521,36.965212,80,FRONT ST,202B,,,,95060,,04606eb2b5f26bc7
-122.0246521,36.965212,80,FRONT ST,203A,,,,95060,,18e1557dfa7373d5
-122.0246521,36.965212,80,FRONT ST,203B,,,,95060,,ec541670ec360704
-122.0246521,36.965212,80,FRONT ST,204B,,,,95060,,9990376a10db65cf
-122.0246521,36.965212,80,FRONT ST,11,,,,95060,,476c690e4e81c835
-122.0246521,36.965212,80,FRONT ST,205,,,,95060,,9178c043c7ca0d0c
-122.0246521,36.965212,80,FRONT ST,206,,,,95060,,1941ddfe0bcf67ba
-122.0246521,36.965212,80,FRONT ST,208A,,,,95060,,42e03d34ca3dbf7d
-122.0246521,36.965212,80,FRONT ST,145B,,,,95060,,b3c9311312760495
-122.0246521,36.965212,80,FRONT ST,208B,,,,95060,,7421936b81d51707
-122.0246521,36.965212,80,FRONT ST,209,,,,95060,,f1a98197f315c220
-122.0246521,36.965212,80,FRONT ST,201B,,,,95060,,b1544fda09ff7a25
