         25797326 function calls (23699534 primitive calls) in 1837.393 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   175981    0.153    0.000    0.153    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:222(empty)
    66116    0.130    0.000    0.152    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:331(add_edge)
    61957    0.037    0.000    0.149    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:59(str_flatten_tuple)
    92440    0.075    0.000    0.147    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_subinterfaces.py:1241(get_num)
    46220    0.145    0.000    0.145    0.000 {built-in method cplex._internal.py36_cplex1280.Pylolmat_to_CHBmat}
    58645    0.028    0.000    0.140    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:233(__del__)
    30978    0.043    0.000    0.140    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:102(to_linear_expr)
    46220    0.053    0.000    0.139    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/constr.py:517(is_trivial)
    61958    0.069    0.000    0.138    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:607(__init__)
    99174    0.096    0.000    0.136    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:389(edge_ok)
    92934    0.069    0.000    0.132    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1118(_add_term)
    46220    0.130    0.000    0.130    0.000 {built-in method cplex._internal.py36_cplex1280.CPXXaddrows}
    92451    0.107    0.000    0.130    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:59(__init__)
        1    0.056    0.056    0.129    0.129 /Users/fkauker/Documents/code/link/link/solve/util.py:220(match_solution)
        3    0.053    0.018    0.129    0.043 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:371(<listcomp>)
        1    0.000    0.000    0.124    0.124 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:814(__del__)
        1    0.000    0.000    0.124    0.124 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:788(end)
        1    0.000    0.000    0.124    0.124 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:619(freeprob)
        1    0.124    0.124    0.124    0.124 {built-in method cplex._internal.py36_cplex1280.CPXXfreeprob}
   537914    0.122    0.000    0.122    0.000 {method 'update' of 'dict' objects}
    46220    0.058    0.000    0.122    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:940(__notify_new_model_object)
    28184    0.061    0.000    0.113    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:48(__len__)
    92443    0.072    0.000    0.111    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/__init__.py:389(_apienc)
   128641    0.090    0.000    0.109    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:102(__getitem__)
    66116    0.031    0.000    0.107    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:372(new_node_ok)
   107695    0.061    0.000    0.103    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/six.py:586(iteritems)
    92938    0.073    0.000    0.101    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/xcounter.py:244(update_dict_from_item_value)
    56368    0.092    0.000    0.101    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:44(_update)
    95585    0.078    0.000    0.099    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:252(_keep_alive)
    84552    0.097    0.000    0.097    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:223(floatstr)
    46219    0.029    0.000    0.095    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:433(constant_expr)
   845274    0.095    0.000    0.095    0.000 {built-in method builtins.id}
   128072    0.073    0.000    0.092    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:81(__getitem__)
    49364    0.036    0.000    0.090    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:296(__getitem__)
    28184    0.061    0.000    0.088    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/predicates.py:23(__call__)
    30485    0.040    0.000    0.088    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:35(_to_expr)
        1    0.014    0.014    0.086    0.086 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/solution.py:91(make_engine_solution)
    92460    0.047    0.000    0.086    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_list_array_utils.py:89(double_c_array)
    28184    0.075    0.000    0.085    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:823(add_edge)
    61956    0.037    0.000    0.084    0.000 {method 'join' of 'str' objects}
    15243    0.012    0.000    0.082    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:970(clone_if_necessary)
        3    0.000    0.000    0.081    0.027 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:508(create_variables)
        3    0.000    0.000    0.081    0.027 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:523(_create_cpx_variables)
        3    0.000    0.000    0.081    0.027 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:906(fast_add_cols)
        3    0.001    0.000    0.081    0.027 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:904(newcols)
    66116    0.024    0.000    0.080    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:294(<genexpr>)
   555843    0.080    0.000    0.080    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:99(__hash__)
    46220    0.037    0.000    0.079    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/tck.py:205(typecheck_ct_to_add)
        1    0.000    0.000    0.077    0.077 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_subinterfaces.py:7598(getx)
        1    0.000    0.000    0.077    0.077 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:1803(getx)
